Index,Task ID,Filename,Title,Priority,Status,Issue Number
30,9B-K-SKILL-CREATOR-TIMEOUT-CONFIG,task-9b-k-skill-creator-timeout-config.md,タイムアウト設定の外部化 - タスク指示書,-,-,695
31,9B-UI-INTEGRATION-TASK10A,task-9b-ui-integration-task10a.md,SkillCreator UI統合（TASK-10A連携） - タスク指示書,-,-,696
32,CONV-08-01-01-VECTOR-SIMILARITY-SEARCH,task-CONV-08-01-01-vector-similarity-search.md,Knowledge Graph Vector Similarity Search 実装 - タスク指示書,-,-,267
33,CONV-08-01-02-BATCH-TRANSACTION-SUPPORT,task-CONV-08-01-02-batch-transaction-support.md,Knowledge Graph バッチ操作トランザクションサポート - タスク指示書,-,-,268
34,AGENT-00-INDEX,task-agent-00-index.md,エージェント機能 - タスク一覧とインデックス,-,-,959
35,AGENT-SDK-KEYBOARD-SHORTCUTS,task-agent-sdk-keyboard-shortcuts.md,Agent SDK キーボードショートカット - タスク指示書,-,-,270
36,AGENT-SDK-STREAMING-ANIMATION,task-agent-sdk-streaming-animation.md,Agent SDK ストリーミングUIアニメーション - タスク指示書,-,-,271
37,API-KEYS-UI-IMPROVEMENT,task-api-keys-ui-improvement.md,APIキー設定UI改善 - タスク実行仕様書,-,-,272
38,ARCHITECTURE-IMPROVEMENTS,task-architecture-improvements.md,アーキテクチャ改善タスク仕様書,-,-,571
39,AUTH-AUDIT-LOGGING,task-auth-audit-logging.md,ログイン履歴・監査ログ実装 - タスク指示書,-,-,720
40,AUTH-ERROR-MESSAGES,task-auth-error-messages.md,エラーメッセージ一元管理 - タスク指示書,-,-,275
41,AUTH-MULTI-ACCOUNT-SUPPORT,task-auth-multi-account-support.md,複数アカウントサポート - タスク指示書,-,-,724
42,AUTH-OAUTH-PROVIDER-EXPANSION,task-auth-oauth-provider-expansion.md,OAuthプロバイダー追加 - タスク指示書,-,-,725
43,AUTH-PRODUCTION-VALIDATION,task-auth-production-validation.md,本番環境カスタムプロトコル動作検証 - タスク指示書,-,-,277
44,AUTH-PROVIDER-DETECTION,task-auth-provider-detection.md,OAuth プロバイダー自動検出機能 - タスク指示書,-,-,732
45,AUTH-STATE-CLEANUP-SCHEDULING,task-auth-state-cleanup-scheduling.md,State Map定期クリーンアップ実装 - タスク指示書,-,-,723
46,AUTH-STRUCTURED-LOGGING,task-auth-structured-logging.md,構造化ログ追加 - タスク指示書,-,-,280
47,AUTH-TOKEN-REFRESH-OPTIMIZATION,task-auth-token-refresh-optimization.md,トークンリフレッシュ戦略最適化 - タスク指示書,-,-,726
48,AUTH-UX-IMPROVEMENTS,task-auth-ux-improvements.md,OAuth認証エラー時のUX改善 - タスク指示書,-,-,285
49,AUTH-WEB-PKCE-MIGRATION,task-auth-web-pkce-migration.md,Next.js Web認証フロー PKCE移行 - タスク指示書,-,-,727
50,AUTO-SAVE-FUNCTIONALITY,task-auto-save-functionality.md,自動保存機能 - タスク指示書,-,-,286
51,AVATAR-MANAGEMENT-UI-IMPROVEMENT,task-avatar-management-ui-improvement.md,アバター管理UI改善 - タスク指示書,-,-,287
52,BLOCKING-COMPONENT-TIMEOUT-PATTERN-EXTRA,task-blocking-component-timeout-pattern-extraction.md,UT-BLOCKING-TIMEOUT-PATTERN-001 ブロッキングコンポーネント・タイムアウトパターンのカスタ,-,-,1122
53,CHAT-EXPORT-PREVIEW,task-chat-export-preview.md,チャット履歴エクスポートプレビュー機能実装 - タスク指示書,-,-,289
54,CHAT-HISTORY-ADDITIONAL-USECASES,task-chat-history-additional-usecases.md,Chat History Additional Use Cases - タスク指示書,-,-,482
55,CHAT-HISTORY-FTS5-SEARCH,task-chat-history-fts5-search.md,チャット履歴FTS5全文検索 - タスク指示書,-,-,406
56,CHAT-HISTORY-SEARCH-PAGINATION,task-chat-history-search-pagination.md,チャット履歴検索ページネーション改善 - タスク指示書,-,-,408
57,CHAT-HISTORY-UI-COMPONENTS,task-chat-history-ui-components.md,Chat History UI Components - タスク指示書,-,-,429
58,CHAT-MESSAGE-SELECTION-UI,task-chat-message-selection-ui.md,チャット履歴メッセージ選択UI実装 - タスク指示書,-,-,290
59,CHAT-SPLIT-COMPARE,task-chat-split-compare.md,画面分割LLM比較機能 - タスク指示書,-,-,291
60,CHATEDIT-SLICE-STORE-INTEGRATION,task-chatedit-slice-store-integration.md,chatEditSlice Store統合 - タスク指示書,-,-,596
61,CHATVIEW-QUALITY-IMPROVEMENTS,task-chatview-quality-improvements.md,ChatView コード品質改善 - タスク指示書,-,-,292
62,CHUNK-SEARCH-API-LAYERS,task-chunk-search-api-layers.md,Chunk Search API層実装 - タスク指示書,-,-,609
63,CHUNKS-FTS5-PERFORMANCE-TESTING,task-chunks-fts5-performance-testing.md,chunks FTS5パフォーマンステスト - タスク指示書,-,-,293
64,CHUNKS-FTS5-QUALITY-IMPROVEMENTS,task-chunks-fts5-quality-improvements.md,chunks FTS5品質改善 - タスク指示書,-,-,294
65,CIRCUIT-BREAKER-PATTERN,task-circuit-breaker-pattern.md,サーキットブレーカーパターン導入 - タスク指示書,-,-,610
66,COMPONENT-TESTS-IMPORT-CLEANUP,task-component-tests-import-cleanup.md,コンポーネントテスト未使用importの除去 - タスク指示書,-,-,661
67,COMPONENT-TESTS-NAMING-CONSISTENCY,task-component-tests-naming-consistency.md,コンポーネントテスト名の日本語統一 - タスク指示書,-,-,662
68,CONVERSATION-SECURITY-IMPROVEMENT,task-conversation-security-improvement.md,会話履歴UIセキュリティ改善 - タスク指示書,-,-,498
69,CONVERTER-AST-MIGRATION,task-converter-ast-migration.md,AST-basedコード解析への移行 - タスク指示書,-,-,296
70,CONVERTER-BENCHMARK-SUITE,task-converter-benchmark-suite.md,パフォーマンスベンチマークスイート追加 - タスク指示書,-,-,297
71,CONVERTER-REDOS-PROTECTION,task-converter-redos-protection.md,正規表現タイムアウト実装（ReDoS対策） - タスク指示書,-,-,298
72,CONVERTER-STREAMING-LARGE-FILES,task-converter-streaming-large-files.md,大容量ファイル対応（ストリーミング処理） - タスク指示書,-,-,299
73,COPY-HISTORY-AUTO-EXPIRE,task-copy-history-auto-expire.md,コピー履歴自動期限切れ - タスク指示書,-,-,546
74,COPY-HISTORY-E2E-TESTS,task-copy-history-e2e-tests.md,コピー履歴E2Eテスト - タスク指示書,-,-,547
75,COPY-HISTORY-KEYBOARD-SHORTCUTS,task-copy-history-keyboard-shortcuts.md,コピー履歴キーボードショートカット - タスク指示書,-,-,548
76,COPY-HISTORY-PERSISTENCE,task-copy-history-persistence.md,コピー履歴永続化 - タスク指示書,-,-,549
77,COPY-HISTORY-SEARCH-FILTER,task-copy-history-search-filter.md,コピー履歴検索・フィルタリング - タスク指示書,-,-,550
78,DATA-ENCRYPTION,task-data-encryption.md,データ暗号化機能実装 - タスク指示書,-,-,300
79,DATA-SYNC-EXPORT-IMPORT,task-data-sync-export-import.md,データ同期・エクスポート/インポート機能 - タスク指示書,-,-,301
80,DATABASE-MULTI-DRIVER-SUPPORT,task-database-multi-driver-support.md,データベースマルチドライバ対応 - タスク指示書,-,-,410
81,DATABASE-OPTIMIZATION,task-database-optimization.md,データベーススキーマ最適化 - タスク指示書,-,-,302
82,DEBUG-CODE-CLEANUP,task-debug-code-cleanup.md,デバッグコード削除 - タスク指示書,-,-,303
83,DEPENDENCY-UPDATE,task-dependency-update.md,依存関係脆弱性解消 - タスク指示書,-,-,304
84,DOC-PHASE12-JUDGMENT-CRITERIA-IMPROVEMEN,task-doc-phase12-judgment-criteria-improvement.md,Phase 12判断基準改善タスク,-,-,764
85,DYNAMIC-TITLE-DISPLAY,task-dynamic-title-display.md,タイトル動的表示機能 - タスク実行仕様書,-,-,305
86,E2E-DIALOG-ACCESSIBILITY-PATTERNS,task-e2e-dialog-accessibility-patterns.md,E2Eダイアログアクセシビリティテストパターン拡充 - タスク指示書,-,-,672
87,E2E-DIALOG-HELPERS-LIBRARY,task-e2e-dialog-helpers-library.md,E2Eテストヘルパー関数ライブラリ化 - タスク指示書,-,-,673
88,E2E-PERMISSION-WAITFORTIMEOUT-REFACTORIN,task-e2e-permission-waitfortimeout-refactoring.md,E2E権限テスト waitForTimeout改善 - タスク指示書,-,-,674
89,E2E-TEST-CHAT-HISTORY,task-e2e-test-chat-history.md,E2Eテスト追加（チャット履歴） - タスク指示書,-,-,483
90,E2E-TEST-EXPANSION,task-e2e-test-expansion.md,E2Eテスト拡充タスク,-,-,306
91,E2E-TEST-README-DOCUMENTATION,task-e2e-test-readme-documentation.md,READMEへのE2Eテスト実行方法追加 - タスク指示書,-,-,675
92,E2E-TEST-SETUP-SLIDE,task-e2e-test-setup-slide.md,E2Eテスト環境構築（Slide機能） - タスク指示書,-,-,307
93,EDITORVIEW-HOOKS-COVERAGE,task-editorview-hooks-coverage.md,未タスク指示書: EditorView hooks テストカバレッジ改善,-,-,430
94,EMBEDDING-ADDITIONAL-PROVIDERS,task-embedding-additional-providers.md,追加埋め込みプロバイダー実装 - タスク指示書,-,-,308
95,EMBEDDING-AUTO-REEMBEDDING,task-embedding-auto-reembedding.md,モデル変更時の自動再埋め込み - タスク指示書,-,-,309
96,EMBEDDING-BATCH-CONFIG-EXTERNALIZATION,task-embedding-batch-config-externalization.md,BatchProcessor設定外部化 - タスク指示書,-,-,310
97,EMBEDDING-CACHE-REDIS-INTEGRATION,task-embedding-cache-redis-integration.md,埋め込みキャッシュRedis統合 - タスク指示書,-,-,311
98,EMBEDDING-FACTORY-TYPE-SAFETY,task-embedding-factory-type-safety.md,ファクトリーの型安全性改善 - タスク指示書,-,-,312
99,EMBEDDING-STRATEGY-SWITCHING,task-embedding-strategy-switching.md,チャンキングストラテジー動的切り替え - タスク指示書,-,-,314
100,ENTITY-TYPE-EXPANSION,task-entity-type-expansion.md,エンティティタイプ拡張 - タスク指示書,-,-,315
101,ENVIRONMENT-TYPE-CODE-IMPLEMENTATION,task-environment-type-code-implementation.md,EnvironmentType Code実装 - タスク指示書,-,-,580
102,ENVIRONMENT-TYPE-TERMINAL-IMPLEMENTATION,task-environment-type-terminal-implementation.md,EnvironmentType Terminal実装 - タスク指示書,-,-,581
103,ERROR-I18N-SUPPORT,task-error-i18n-support.md,エラーメッセージ国際化対応 - タスク指示書,-,-,316
104,ERROR-REPORTING-SERVICE,task-error-reporting-service.md,エラーレポーティングサービス連携 - タスク指示書,-,-,317
105,FEATURE-FILE-SEARCH,task-feature-file-search.md,ファイル検索機能 - タスク指示書,-,-,318
106,FEATURE-GIT-INTEGRATION,task-feature-git-integration.md,Git統合機能 - タスク指示書,-,(folderPath: st,319
107,FEATURE-RAG-INTEGRATION,task-feature-rag-integration.md,RAG連携実装 - タスク指示書,-,(,320
108,FILE-PREVIEW-MULTI-FORMAT,task-file-preview-multi-format.md,マルチフォーマットファイルプレビュー機能 - タスク指示書,-,-,321
109,FILE-RENAME-FUNCTIONALITY,task-file-rename-functionality.md,ファイル・ディレクトリ名変更機能 - タスク指示書,-,-,322
110,FILE-SELECTOR-ACCESSIBILITY-IMPROVEMENTS,task-file-selector-accessibility-improvements.md,FileSelector アクセシビリティ改善 - タスク指示書,-,-,323
111,FILE-SELECTOR-DRAG-DROP,task-file-selector-drag-drop.md,FileSelector ドラッグ&ドロップ機能 - タスク指示書,-,-,324
112,FILE-SELECTOR-UI-IMPROVEMENTS,task-file-selector-ui-improvements.md,FileSelector UI品質改善 - タスク指示書,-,-,325
113,FILENAME-SEARCH-MIGRATION,task-filename-search-migration.md,未タスク指示書: ファイル名検索のPhase 5移行,-,-,431
114,FIX-1-3-SKILLEXECUTIONREQUEST-RESPONSE-U,task-fix-1-3-skillexecutionrequest-response-unification.md,SkillExecutionRequest/Response 型統一 - タスク指示書,-,-,742
115,FIX-1-4-SKILLSTREAMMESSAGE-DISCRIMINATED,task-fix-1-4-skillstreammessage-discriminated-union.md,SkillStreamMessage Discriminated Union 移行 - タスク指示書,-,-,741
116,FIX-1-5-SKILLMETADATA-UNIFICATION,task-fix-1-5-skillmetadata-unification.md,SkillMetadata 型統一 - タスク指示書,-,-,743
117,FIX-12-2-IPC-HARDCODE-FIX-UPDATER-AGENT,task-fix-12-2-ipc-hardcode-fix-updater-agent.md,TASK-FIX-12-2-IPC-HARDCODE-FIX-UPDATER-AGENT - タスク指示書,-,-,757
118,FIX-14-2-SKILLEXECUTOR-CONSOLE-LOG-MIGRA,task-fix-14-2-skillexecutor-console-log-migration.md,TASK-FIX-14-2-SKILLEXECUTOR-CONSOLE-LOG-MIGRATION - タスク指示書,-,-,828
119,FIX-15-2-TYPE-CONSOLIDATION,task-fix-15-2-type-consolidation.md,SkillExecutionRequest/Response型のsharedパッケージ移動 - タスク指示書,-,-,766
120,FIX-AGENTSLICE-EXISTING-TEST-ENV-DEPENDE,task-fix-agentslice-existing-test-env-dependency-001.md,agentSlice 既存テストファイルの環境依存エラー修復 - タスク指示書,-,-,1104
121,FIX-DEBUG-CLEAR-STORAGE-SHIM-CLEANUP-001,task-fix-debug-clear-storage-shim-cleanup-001.md,UT-FIX-DEBUG-CLEAR-STORAGE-SHIM-CLEANUP-001: debug-clear-sto,-,-,1127
122,FIX-SETTINGS-INTEGRATION-ACT-WARNING-001,task-fix-settings-integration-act-warning-001.md,SettingsView 統合テスト act() 警告解消 - タスク指示書,-,-,1074
123,FIX-TS-SHARED-MODULE-RESOLUTION-001,task-fix-ts-shared-module-resolution-001.md,TypeScript `@repo/shared` モジュール解決エラー 228件の根本解決,-,-,837
124,UT-FIX-WORKTREE-NATIVE-BINARY-GUARD-001,task-fix-worktree-native-binary-guard-001.md,worktree環境でのネイティブバイナリ不整合自動検出ガード - タスク指示書,低,未実施,1063
125,FR011-FILE-TYPE-ICONS,task-fr011-file-type-icons.md,ファイルタイプアイコン表示機能 - タスク指示書,-,-,326
126,FR012-FOLDER-DRAG-DROP-REORDER,task-fr012-folder-drag-drop-reorder.md,フォルダの並べ替え機能 - タスク指示書,-,-,327
127,GRAPH-SEARCH-PERFORMANCE,task-graph-search-performance.md,グラフ検索パフォーマンス改善 - タスク指示書,-,-,328
128,GRAPH-SEARCH-RELIABILITY-IMPROVEMENTS,task-graph-search-reliability-improvements.md,グラフ検索信頼性改善 - タスク指示書,-,-,329
129,HISTORY-GUI-MANUAL-TEST,task-history-gui-manual-test.md,History GUI手動テスト - タスク指示書,-,-,330
130,HISTORY-IMPROVEMENTS,task-history-improvements.md,履歴UI改善タスク一覧 - タスク指示書,-,-,331
131,HISTORY-SERVICE-IMPROVEMENTS,task-history-service-improvements.md,HistoryService改善 - タスク指示書,-,-,332
132,HYBRIDRAG-FACTORY-FULL-LITE,task-hybridrag-factory-full-lite.md,HybridRAGFactory createFull/createLite 実装タスク,-,-,432
133,I18N-APP-WIDE-EXPANSION,task-i18n-app-wide-expansion.md,アプリ全体i18n展開 - タスク指示書,-,-,555
134,I18N-BUNDLE-OPTIMIZATION,task-i18n-bundle-optimization.md,翻訳ファイル遅延読み込み - タスク指示書,-,-,556
135,I18N-LANGUAGE-SWITCHER-UI,task-i18n-language-switcher-ui.md,言語切替UI - タスク指示書,-,-,557
136,I18N-MULTI-LANGUAGE-SUPPORT,task-i18n-multi-language-support.md,3言語以上対応 - タスク指示書,-,-,558
137,IMP-AGENTSLICE-TEST-CREATESTORE-PATTERN-,task-imp-agentslice-test-createstore-pattern-standardization-001.md,agentSlice テスト createStore パターン標準化 - タスク指示書,-,-,1105
138,IMP-AGENTVIEW-INTEGRATION-TEST-HARNESS-0,task-imp-agentview-integration-test-harness-001.md,AgentView 統合テストハーネス展開（S-INT-01 横展開） - タスク指示書,-,-,1075
139,IMP-AI-RUNTIME-PERMISSION-RESOLVER-PLACE,task-imp-ai-runtime-permission-resolver-placement-001.md,PermissionResolver 責務帰属先の確定 - タスク指示書,-,-,1209
140,IMP-AI-RUNTIME-TEST-SEPARATION-CRITERIA-,task-imp-ai-runtime-test-separation-criteria-001.md,契約テストと回帰テストの棲み分け基準の明文化 - タスク指示書,-,-,1210
141,IMP-AIWORKFLOW-REQ-PHASE12-PHASE-12-ARTI,task-imp-aiworkflow-req-phase12-phase-12-artifacts-missing-001.md,TASK-IMP-AIWORKFLOW-REQ-PHASE12-ARTIFACTS-MISSING-001: Phase,-,-,1188
142,IMP-AIWORKFLOW-REQUIREMENTS-GENERATED-IN,task-imp-aiworkflow-requirements-generated-index-sharding-001.md,TASK-IMP-AIWORKFLOW-REQUIREMENTS-GENERATED-INDEX-SHARDING-00,-,-,1195
143,IMP-AIWORKFLOW-SAME-WAVE-SYNC-GUARD-001,task-imp-aiworkflow-same-wave-sync-guard-001.md,TASK-IMP-AIWORKFLOW-SAME-WAVE-SYNC-GUARD-001: aiworkflow sam,-,-,1204
144,IMP-AIWORKFLOW-SKILL-ENTRYPOINT-COVERAGE,task-imp-aiworkflow-skill-entrypoint-coverage-guard-001.md,UT-IMP-AIWORKFLOW-SKILL-ENTRYPOINT-COVERAGE-GUARD-001: aiwor,-,-,1151
145,IMP-AIWORKFLOW-UNASSIGNED-TABLE-DEDUP-00,task-imp-aiworkflow-unassigned-table-dedup-001.md,UT-IMP-AIWORKFLOW-UNASSIGNED-TABLE-DEDUP-001 - Phase 12 残課題テ,-,-,923
146,IMP-APP-TEST-MOCK-CENTRALIZATION-001,task-imp-app-test-mock-centralization-001.md,UT-IMP-APP-TEST-MOCK-CENTRALIZATION-001: App.tsx テスト共有モックファク,-,-,1129
147,IMP-APP-TEST-MOCK-CENTRALIZATION-002,task-imp-app-test-mock-centralization-002.md,UT-IMP-APP-TEST-MOCK-CENTRALIZATION-001 - App.tsx テスト共有モックファ,-,-,1117
148,UT-IMP-AUTHKEY-EXISTS-SOURCE-FIELD-001,task-imp-authkey-exists-source-field-001.md,auth-key:exists レスポンスに source フィールドを追加 - タスク指示書,中,未実施,1064
149,UT-IMP-AUTHKEY-VALIDATE-REALTIME-001,task-imp-authkey-validate-realtime-001.md,AuthKeySection に保存前リアルタイムAPIキー検証を統合 - タスク指示書,中,未実施,1065
150,IMP-CHATPANEL-NEW-DESIGN-IMPROVEMENTS,task-imp-chatpanel-new-design-improvements.md,ChatPanel 新規デザイン適用 - タスク指示書,-,-,598
151,IMP-CHUNK-SEARCH-API-LAYERS,task-imp-chunk-search-api-layers.md,Chunk Search APIレイヤー実装 - タスク指示書,-,-,594
152,IMP-CICD-COVERAGE-001-BADGE,task-imp-cicd-coverage-001-badge.md,カバレッジバッジの追加 - タスク指示書,-,-,333
153,IMP-CICD-COVERAGE-002-BRANCH-TRACKING,task-imp-cicd-coverage-002-branch-tracking.md,ブランチ別カバレッジ追跡 - タスク指示書,-,-,334
154,IMP-CICD-COVERAGE-003-ALERT,task-imp-cicd-coverage-003-alert.md,カバレッジ低下アラート - タスク指示書,-,-,335
155,IMP-CLAUDE-CLI-ABORT-UI,task-imp-claude-cli-abort-ui.md,スキル実行中断UIの実装,-,-,336
156,IMP-CLAUDE-CLI-PROGRESS-FEEDBACK,task-imp-claude-cli-progress-feedback.md,実行中フィードバック表示の実装,-,-,337
157,IMP-CLAUDE-CLI-RETRY-UX,task-imp-claude-cli-retry-ux.md,キャンセル・再試行UXの実装,-,-,338
158,IMP-COMMUNITY-DASHBOARD-HANDLERS-001,task-imp-community-dashboard-handlers-001.md,Community/Dashboard IPCハンドラー実サービス実装 - タスク指示書,-,-,638
159,IMP-COMMUNITY-ENTITY-DETAIL-NAVIGATION-0,task-imp-community-entity-detail-navigation-001.md,エンティティ詳細画面ナビゲーション - タスク指示書,-,-,651
160,IMP-COMMUNITY-UI-IMPLEMENTATION-001,task-imp-community-ui-implementation-001.md,Community統合テストUIコンポーネント不一致修正 - タスク指示書,-,-,668
161,IMP-COMPONENT-SPLIT-TEST-STRATEGY-GUARD-,task-imp-component-split-test-strategy-guard-001.md,コンポーネント分割前テスト戦略設計ガード - タスク指示書,-,-,1055
162,IMP-E2E-FIXTURE-EDGE-CASES,task-imp-e2e-fixture-edge-cases.md,E2Eフィクスチャ エッジケース拡充 - タスク指示書,-,-,629
163,IMP-E2E-FIXTURE-SUBRESOURCE-EXPANSION,task-imp-e2e-fixture-subresource-expansion.md,E2Eフィクスチャ サブリソース型拡充 - タスク指示書,-,-,630
164,IMP-ELECTRON-API-MOCK-CONTRACT-SYNC-001,task-imp-electron-api-mock-contract-sync-001.md,electronAPI Mock 契約同期ガード - タスク指示書,-,-,1076
165,IMP-ESLINT-EXCESSIVE-MOCK-DETECTION-001,task-imp-eslint-excessive-mock-detection-001.md,vi.mock 過剰使用検出 ESLint ルール - タスク指示書,-,-,1077
166,IMP-HOOK-STORE-IPC-SEPARATION-GUARD-001,task-imp-hook-store-ipc-separation-guard-001.md,Hook内Store/IPC/UIState混在防止ガード - タスク指示書,-,-,1056
167,IMP-IPC-HANDLER-TEST-STDERR-SUPPRESSION-,task-imp-ipc-handler-test-stderr-suppression-001.md,IPC ハンドラテスト意図的 stderr 出力抑制 - タスク指示書,-,-,1134
168,IMP-IPC-IMP002-CHANNELS,task-imp-ipc-imp002-channels.md,IMP-002チャネル本体実装 - タスク指示書,-,-,656
169,IMP-IPC-PERMISSION-RESPONSE,task-imp-ipc-permission-response.md,permission:response チャネル実装 - タスク指示書,-,-,657
170,IMP-IPC-PRELOAD-SPEC-SYNC-CI-GUARD-001,task-imp-ipc-preload-spec-sync-ci-guard-001.md,task-9D〜9J 仕様契約ドリフト自動検証CIガード - タスク指示書,-,-,901
171,IMP-IPC-REGISTRATION-VERIFY-001,task-imp-ipc-registration-verify-001.md,IPC ハンドラ登録整合性自動検証テスト - タスク指示書,-,-,821
172,IMP-IPC-TIMEOUT-CONFIGURABLE-001,task-imp-ipc-timeout-configurable-001.md,IPC タイムアウト値のチャンネル別設定可能化,-,-,1133
173,IMP-IPC-TIMEOUT-RETRY-UI-001,task-imp-ipc-timeout-retry-ui-001.md,IPC タイムアウト後のリトライ UI パターン実装,-,-,1124
174,IMP-LLM-HANDLER-TIMEOUT-001,task-imp-llm-handler-timeout-001.md,LLMハンドラータイムアウト実装 - タスク指示書,-,-,669
175,IMP-MODULE-SYNC-REPORT-ENHANCEMENT,task-imp-module-sync-report-enhancement.md,TASK-IMP-MODULE-SYNC-REPORT-ENHANCEMENT-001 - タスク指示書,-,-,881
176,IMP-MONACO-MULTI-CURSOR-SUPPORT-001,task-imp-monaco-multi-cursor-support-001.md,Monaco Editor マルチカーソル対応 - タスク指示書,-,-,680
177,IMP-MONACO-SELECTION-HIGHLIGHT-001,task-imp-monaco-selection-highlight-001.md,Monaco Editor 選択範囲ハイライト表示 - タスク指示書,-,-,681
178,IMP-MONACO-VIM-EMACS-MODE-001,task-imp-monaco-vim-emacs-mode-001.md,Monaco Editor Vim/Emacsモード選択範囲対応 - タスク指示書,-,-,682
179,IMP-MONACO-WRITE-BACK-001,task-imp-monaco-write-back-001.md,Monaco Editor 書き戻し機能 - タスク指示書,-,-,683
